Listing Name,Price,Room Type,Reviews
"Private Oasis, en suite bathroom",131,Private room,26 reviews
"Cozy room, overlooking garden",65,Private room,48 reviews
"Comfy, convenient bedroom in Bklyn!",80,Private room,28 reviews
Sunny apt next to Prospect Park!,60,Private room,62 reviews
Fantastic Room 1 stop to Manhattan,100,Private room,44 reviews
Gorgeous Modern Williamsburg Loft,180,Entire home/apt,35 reviews
E Williamsburg Artist Retreat;Beige,69,Private room,81 reviews
"Beautiful Light Apt Red Hook, Bklyn",135,Entire home/apt,87 reviews
Affordable room in Williamsburg!,50,Private room,5 reviews
Bed & Bath Suite in New Duplex,84,Private room,17 reviews
Comfy Queen Size Bed in Brooklyn,50,Private room,60 reviews
Sunny Room in Modern WB Penthouse,125,Private room,45 reviews
Master Bedroom- Historic Brownstone,85,Private room,58 reviews
Sunny Brooklyn Brownstone Apartment,111,Entire home/apt,16 reviews
Cozy room steps to subway,55,Private room,3 reviews
Sunny+Cozy Double bedroom in BKLYN!,72,Private room,114 reviews
Private Entry Garden Apartment,80,Entire home/apt,123 reviews
"NEW
                    
                      1BR + Sofa Bed in Brownstone",95,Entire home/apt,0 reviews
Prvt Garden Flat 15mins/Manhattan,100,Entire home/apt,53 reviews
Private apartment  10 mins to NYC,85,Entire home/apt,57 reviews
"Landmark Cottage, Brownstone block",210,Entire home/apt,46 reviews
Entire Waterfront Loft; City Views,190,Entire home/apt,79 reviews
Classic Williamsburg,80,Private room,105 reviews
"Comfy, convenient bedroom in Bklyn!",80,Private room,28 reviews
Seigal Bunk,39,Shared room,6 reviews
LUX loft 1st stop in Williamsburg,140,Entire home/apt ,reviews
Private room. Modern Apartment,65,Private room,100 reviews
Whole B'stone flr w priv kit & bat,89,Private room,18 reviews
Ebony & Ivory Close to Manhattan,99,Entire home/apt,30 reviews
Apt in Heart of Prospect Heights,105,Entire home/apt,26 reviews
"Private Oasis, en suite bathroom",131,Private room,26 reviews
private room with private bathroom,99,Private room,59 reviews
Sunny apt next to Prospect Park!,60,Private room,62 reviews
NICE ROOM #3 ~ AWESOME LOCATION!!!,109,Private room,28 reviews
An Authentic Artists Studio,83,Private room,61 reviews
Family Owned & Operated Brownstone,60,Private room,55 reviews
"Peace room, private bath, breakfast",80,Private room,43 reviews
NYC Special Occasions Room #2,27,Private room,83 reviews
Relaxed Elegance in a Brownstone,82,Private room,25 reviews
Massive Apartment with Back Patio,200,Entire home/apt,5 reviews
Brooklyn Artist Loft (Large Room),64,Private room,23 reviews
Private Studio for Two,85,Entire home/apt,7 reviews
Beautiful Home Away From Home,79,Private room,8 reviews
Private Yellow Room - Garden View,65,Private room,24 reviews
Lovely Bedroom In Designer's Home,109,Private room,28 reviews
Large peaceful room nr Prospect Pk,85,Private room,22 reviews
Great Private Room With Big Windows,68,Private room,7 reviews
"NEW
                    
                      1BR Railroad Apt in Heart of Wburg",115,Entire home/apt,0 reviews
Beautiful Brooklyn share apartment,59,Shared room,32 reviews
Tiny little private nook!,39,Private room,44 reviews
Beautiful 2BR + Yard (kid-friendly),137,Entire home/apt,46 reviews
"Cozy, quiet and comfortable 1BR",135,Entire home/apt,13 reviews
Private Brooklyn Garden Apartment,135,Entire home/apt,44 reviews
Charming 2BR Brooklyn Brownstone,131,Entire home/apt,6 reviews
One Bedroom: Beautiful & Spacious,30,Private room,10 reviews
Clean Room by Metro -15mns 2 city,85,Private room,22 reviews
Private Room in Artist Space (R),50,Private room,0 reviews
Park Slope/Prospect Hghts 2 bedroom,150,Entire home/apt,72 reviews
Stagg Bunk,39,Shared room,8 reviews
Private Studio for Two,85,Entire home/apt,7 reviews
Beautiful Home Away From Home,79,Private room,8 reviews
Private Yellow Room - Garden View,65,Private room,24 reviews
Lovely Bedroom In Designer's Home,109,Private room,28 reviews
Large peaceful room nr Prospect Pk,85,Private room,22 reviews
Great Private Room With Big Windows,68,Private room,7 reviews
"NEW
                    
                      1BR Railroad Apt in Heart of Wburg",115,Entire home/apt,0 reviews
Beautiful Brooklyn share apartment,59,Shared room,32 reviews
Tiny little private nook!,39,Private room,44 reviews
Beautiful 2BR + Yard (kid-friendly),137,Entire home/apt,46 reviews
"Cozy, quiet and comfortable 1BR",135,Entire home/apt,13 reviews
Private Brooklyn Garden Apartment,135,Entire home/apt,44 reviews
Charming 2BR Brooklyn Brownstone,131,Entire home/apt,6 reviews
One Bedroom: Beautiful & Spacious,30,Private room,10 reviews
Clean Room by Metro -15mns 2 city,85,Private room,22 reviews
Private Room in Artist Space (R),50,Private room,0 reviews
Park Slope/Prospect Hghts 2 bedroom,150,Entire home/apt,72 reviews
Stagg Bunk,39,Shared room,8 reviews
"1BR in charming 2BR, Clinton Hill",74,Private room,10 reviews
Garden Room,70,Private room,10 reviews
Elegantly Simple Bed-Stuy Flat,129,Entire home/apt,30 reviews
"Clean, Quiet with Private Room",67,Private room,5 reviews
Spacious room close to Manhattan,50,Private room,20 reviews
"Charming, Warm, Brownstone apt",150,Entire home/apt,52 reviews
cozy newly renovated  apt in bklyn,154,Entire home/apt,23 reviews
Comfy Modern Bklyn 1BR + Guest BR,135,Entire home/apt ,review
BedStuy Room with Backyard,44,Private room,48 reviews
Bedroom in the heart of Brooklyn,65,Private room,21 reviews
Bed-Stuy Gem with Private Entrance,55,Private room,3 reviews
Superhost Special Offer in NYC!,69,Private room,38 reviews
